frame,x_nm,y_nm
1,20972.69,28264.39
4,21010.65,28418.85
6,21379.28,28333.72
7,21118.23,28232.77
9,21287.19,28424.28
10,21214.76,28362.48
12,21437.49,28530.27
13,21691.32,28784.52
14,21409.61,28541.02
15,21235.14,28783.03
16,21430.28,28818.99
17,21372.18,28861.88
18,21510.51,28738.20
19,21462.19,28956.50
20,21609.16,29091.16
21,21669.45,28789.71
22,21731.37,28998.77
23,21763.25,29142.95
24,21926.56,29092.46
25,22145.92,29070.89
26,21886.16,28973.14
27,21890.10,29286.96
28,22039.81,29380.27
29,22386.82,28952.46
30,22246.27,29449.68
