frame,x_nm,y_nm
1,20270.41,8487.71
2,20234.14,8766.04
3,20098.33,8865.09
4,20283.11,8902.67
5,20331.35,9001.40
6,20438.72,9171.78
7,20711.77,9273.30
8,20849.45,9499.73
9,20813.77,9429.50
10,21074.90,9408.98
11,21252.52,9576.03
12,21332.89,9637.45
13,21281.82,9731.26
14,21344.34,9931.00
15,21446.38,9894.30
16,21560.15,9906.49
17,21457.25,10191.01
18,21579.68,10295.80
19,21398.88,10470.38
20,21432.80,10588.53
21,21437.65,10655.20
22,21421.47,10906.53
23,21516.36,10996.89
24,21536.22,10974.02
25,21518.20,11133.65
26,21659.89,10996.91
27,21625.19,11197.82
28,21524.99,11349.17
29,21564.45,11453.64
30,21874.97,11334.36
