frame,x_nm,y_nm
1,8284.40,3307.28
2,8261.13,3393.78
3,8310.46,3452.89
4,8160.26,3944.17
5,8232.40,3932.62
6,8321.58,3966.13
7,8520.63,3884.46
8,8629.84,4056.42
9,8736.22,4058.96
10,8835.69,3939.62
11,8755.27,3860.34
12,8762.69,3915.42
13,8767.45,3704.40
14,8850.91,3549.87
15,8961.56,3352.05
16,8931.66,3271.05
17,8957.73,3292.73
18,9047.23,3128.77
19,8906.71,3029.77
20,8987.32,2993.90
21,9038.58,2932.34
22,9044.58,2953.24
23,9027.03,2894.40
24,9012.20,2994.11
25,8977.26,3050.04
26,8774.55,3054.01
27,8793.03,2914.99
28,8764.25,2823.51
29,8755.42,2513.05
