frame,x_nm,y_nm
1,11267.50,13718.93
2,11065.81,13871.72
3,11118.64,13971.63
4,11249.14,13695.99
5,11409.88,13872.90
6,11547.90,14013.73
7,11668.29,14043.48
8,11610.55,14185.90
9,11675.54,14201.22
10,11702.80,14233.22
11,11916.78,14387.43
12,11922.00,14333.33
13,12078.31,14409.51
14,11905.46,14524.08
15,11984.16,14679.62
16,12164.69,14896.73
17,12097.48,15226.36
18,12068.10,15229.92
19,12403.60,15089.05
20,12316.07,15210.33
21,12416.43,14898.34
22,12458.98,15156.10
23,12437.05,15071.11
24,12318.04,15138.80
25,12473.17,15435.23
26,12359.82,15589.87
27,12345.35,15803.62
28,12307.59,15710.27
29,12462.77,15880.92
