frame,x_nm,y_nm
1,2329.22,7101.23
2,2458.37,7236.29
3,2521.03,7515.78
4,2687.32,7693.12
5,2488.69,7470.43
6,2408.66,7393.29
7,2596.56,7350.44
8,2585.64,7318.72
9,2777.12,7647.72
10,3072.65,7496.28
11,3435.21,7636.57
12,3022.65,7560.42
13,3107.87,7371.99
14,3305.42,7868.62
15,3343.79,8028.05
16,3286.79,7985.52
17,3128.48,7581.32
18,3080.14,7468.79
19,3510.87,7300.23
20,3195.08,7067.54
21,3400.28,7315.75
22,3796.96,7295.05
23,3640.92,7514.93
24,3639.36,7281.58
25,3924.71,7491.81
26,3653.60,7964.39
28,4111.41,7657.54
29,4059.55,7530.14
30,3978.19,7191.51
