frame,x_nm,y_nm
1,19592.62,11680.06
2,19755.92,11919.67
3,20038.85,12117.97
4,20128.59,12355.39
5,20239.42,12217.75
6,20258.13,12180.23
7,20487.28,12112.01
8,20481.85,12014.02
9,20592.57,12042.37
10,20844.47,12429.06
11,20989.13,12556.91
12,21045.25,12561.90
13,20877.90,12516.36
14,20850.15,12382.53
15,20828.91,12213.83
16,20799.14,12020.60
17,20913.93,11845.24
18,20627.18,11492.45
19,20554.97,11520.94
20,20540.79,11363.68
21,20243.29,11182.95
22,20560.15,11503.82
23,20379.28,11248.03
25,20338.90,10523.39
27,20352.30,10498.34
28,20377.00,10256.85
29,20330.66,10660.07
30,20391.28,10733.48
