frame,x_nm,y_nm
1,18925.30,6077.87
2,18989.41,6188.89
3,19054.52,6314.15
4,19058.78,6205.15
5,19142.89,6276.48
6,19233.54,6150.22
7,19260.74,6065.90
8,19224.14,5910.92
9,19156.42,5911.74
10,19106.83,5547.32
11,19030.33,5492.02
12,19075.05,5495.49
13,19012.53,5451.76
14,18941.27,5334.11
15,18941.78,5294.54
16,18858.58,5260.73
17,18888.77,5253.31
18,18881.33,5232.28
19,19132.52,5233.22
20,19117.00,5132.77
21,19359.13,5149.24
22,19415.51,4975.23
23,19654.49,5069.28
24,19399.95,5078.01
25,19523.46,5123.50
26,19460.49,5206.03
28,19658.72,5127.13
29,19453.81,5061.22
30,19551.97,5288.75
