frame,x_nm,y_nm
2,22652.90,4650.94
3,22617.87,4740.66
4,22578.17,4892.43
6,22240.37,4529.81
7,22148.61,4572.92
8,22462.68,4711.26
9,22388.57,4514.15
10,22925.52,4564.56
11,22388.65,4838.46
12,22579.58,4738.95
13,22375.06,4286.39
15,22563.57,4543.54
16,22797.64,4842.32
17,22548.01,4626.98
18,22317.04,4617.34
19,22712.48,4819.72
20,22670.90,4852.10
21,22783.51,5123.78
22,22646.10,4729.19
23,22513.73,4663.89
24,22667.27,4771.66
25,22698.70,4891.43
26,22664.61,4631.99
27,22735.22,4893.51
28,22635.52,4999.34
29,23004.73,5383.90
30,22740.98,5182.52
