frame,x_nm,y_nm
1,22139.83,11962.01
2,22093.74,12090.66
3,22221.22,12125.57
4,22235.98,12164.59
5,22399.00,12119.78
6,22444.33,12123.89
7,22643.45,12126.36
8,22604.15,12133.34
9,22553.36,12148.45
10,22762.72,12241.37
11,22697.02,12178.11
12,22790.79,12141.03
13,22622.23,12078.06
14,22674.03,11930.20
15,22561.55,12013.70
16,22831.59,11903.91
17,22717.16,11703.03
21,23197.21,11612.96
22,23251.74,11546.13
23,23274.07,11646.25
24,23240.81,11808.55
26,23329.30,11819.90
27,23343.32,11762.36
28,23368.47,11844.92
29,23347.88,11739.33
30,23579.81,11682.55
