frame,x_nm,y_nm
5,9894.20,24944.24
6,10145.44,24923.92
7,9744.03,24926.76
8,9592.47,24992.59
11,10101.09,25002.29
12,9843.01,24775.95
13,10275.88,25408.36
14,10981.72,25266.26
15,11097.29,25195.20
16,10866.57,24995.47
17,11006.87,25293.69
18,10538.11,25264.82
19,10517.29,25146.44
20,10308.40,25368.53
21,10557.80,25243.95
22,10544.71,25736.28
23,10813.89,25680.81
24,10582.16,25492.26
25,10585.74,25696.96
26,10837.14,25614.19
27,10786.22,25652.57
28,10708.68,25938.89
29,10815.79,25871.29
30,10832.60,25878.47
