frame,x_nm,y_nm
1,20276.55,13493.60
2,20718.50,13583.86
3,20743.37,13614.27
4,20814.84,13493.89
5,20676.23,13693.42
6,20732.56,13795.38
7,20814.13,13767.34
8,20956.12,13981.28
9,21052.98,13975.03
10,21274.17,14307.03
11,21769.51,14707.60
12,21545.88,14744.92
13,21451.07,14737.02
14,21490.46,15061.98
15,21405.30,14720.11
18,21522.60,14926.23
20,21622.21,14852.60
21,21217.51,14221.92
22,21702.19,14939.09
23,21210.36,14897.06
24,21920.45,14758.13
25,21616.95,14902.38
26,21647.08,14909.81
27,21832.94,15083.40
28,21849.96,15026.98
29,21782.50,14998.71
30,21759.82,15171.37
