frame,x_nm,y_nm
1,2692.98,14959.60
2,2737.44,14820.82
3,3071.90,14528.24
4,2937.66,14438.89
5,2876.07,14454.96
6,2914.35,14445.16
7,3152.84,14671.17
8,3160.57,14719.86
9,3109.48,14868.38
10,2917.17,15013.86
11,3288.11,15184.55
12,3436.80,15201.30
13,3129.03,15357.24
14,3372.39,15651.13
15,3425.79,15661.09
16,3518.74,15523.21
17,3566.12,16254.66
19,3773.96,15508.93
21,3940.03,15848.08
22,3682.02,15732.09
23,4153.91,15725.15
24,4340.52,15204.62
26,3856.76,15947.99
27,4089.43,16356.61
28,3951.51,16694.74
29,4643.66,17095.54
30,3882.76,16670.01
