frame,x_nm,y_nm
1,22129.74,12141.10
2,22109.47,12260.93
3,22236.25,12153.24
4,22343.44,12295.46
5,22540.13,12154.90
6,22572.67,12047.89
10,22915.60,12246.61
11,23032.66,12061.61
12,22849.79,12148.42
13,22782.63,12065.68
14,22767.65,12075.49
15,22723.23,12127.62
16,22743.30,12273.56
17,22662.52,12071.73
18,22792.17,12115.84
19,22662.27,11517.08
20,22705.26,11578.38
21,22679.12,11757.21
22,22765.79,11695.71
23,22830.55,11728.58
24,22797.76,11724.59
25,22738.59,11851.96
26,22811.60,11824.00
27,22843.14,11851.65
28,22790.62,11864.68
29,22917.31,11794.99
30,22793.64,11947.62
