frame,x_nm,y_nm
2,11026.60,17615.51
3,10733.61,17109.67
4,10983.82,17260.72
5,10757.03,17477.41
6,10484.10,16785.43
7,10893.49,16940.24
8,10578.54,17276.58
9,10493.81,17287.84
10,10526.88,17603.79
11,10679.96,17695.92
12,10620.37,17258.25
13,10746.01,17111.94
14,10785.91,16953.65
15,10580.41,17258.32
16,10952.90,17243.22
17,10930.81,17081.85
18,10974.05,17494.13
19,11123.77,17396.26
20,11339.56,17385.69
21,11517.49,17393.82
22,11446.12,17381.69
23,11514.15,17451.19
24,11304.48,17363.99
25,11185.36,17172.47
26,10974.67,17118.25
27,11269.57,17249.15
28,11287.75,17195.83
29,11471.51,17164.30
