frame,x_nm,y_nm
1,18337.37,13772.73
2,18323.37,13882.62
3,18348.25,13803.00
4,18440.02,13909.68
5,18330.35,14049.49
6,18469.16,14208.40
7,18367.20,14207.93
8,18403.86,14039.92
9,18596.58,14031.91
10,18630.43,14239.26
11,18877.75,14374.66
12,18697.62,14497.63
13,18774.58,14439.16
14,18957.09,14347.07
15,18862.21,14223.53
16,18670.30,14152.41
17,18539.15,14345.68
18,18858.80,14220.85
19,18723.03,14148.55
20,18845.11,13962.93
21,18946.37,13949.68
22,18750.53,13799.98
23,18801.46,13767.49
24,18895.27,13461.46
25,18611.34,13648.33
26,18796.72,13680.98
27,18810.77,13759.36
28,18982.05,13860.05
29,18958.72,13924.28
30,18920.53,14262.43
