frame,x_nm,y_nm
1,23400.63,10809.72
2,22691.46,11147.91
3,22894.93,10655.12
4,22913.68,10695.84
5,22857.44,11197.81
6,23018.13,10759.29
7,22899.96,11327.86
8,23152.25,10830.24
9,23334.41,10819.30
10,23290.31,10754.71
11,23182.22,10982.21
12,23323.30,10995.73
13,22897.27,11751.18
14,23139.37,11234.38
15,23035.41,11196.82
16,23211.11,11503.10
17,22887.00,11271.07
18,22666.03,11389.05
19,22932.85,11363.95
20,22706.69,11314.06
23,23182.08,11472.95
24,22581.26,11209.93
25,22770.76,11288.63
26,22303.67,10790.94
27,22855.25,10940.20
28,22535.63,10941.79
29,22345.95,10053.22
30,22383.46,10810.97
