frame,x_nm,y_nm
1,8933.13,24406.69
2,9243.12,24339.72
3,9286.75,24376.70
4,9551.93,24335.89
5,9436.45,24510.97
6,9609.93,24438.96
7,9617.28,24470.01
8,9805.50,24488.61
9,9723.56,24532.18
10,9871.99,24401.02
11,9959.99,24321.46
12,10037.51,24205.23
13,10006.44,24321.24
14,10201.62,24508.23
15,10007.44,24374.14
16,10082.51,24529.06
17,10268.98,24546.02
18,10362.80,24576.42
19,10383.64,24620.01
20,10335.64,24698.00
21,10557.07,24519.94
22,10730.24,24573.53
23,10619.58,24621.47
24,10690.86,24819.35
25,10756.37,24834.60
26,10812.40,24818.85
27,10820.46,24956.88
28,10973.60,24970.03
