frame,x_nm,y_nm
1,20270.04,8487.56
2,20233.77,8765.88
3,20097.97,8864.93
4,20282.74,8902.51
5,20330.98,9001.24
6,20438.35,9171.62
7,20711.39,9273.13
8,20849.07,9499.56
9,20813.39,9429.32
10,21074.52,9408.80
11,21252.13,9575.86
12,21332.50,9637.28
13,21281.43,9731.08
14,21343.95,9930.82
15,21445.99,9894.12
16,21559.76,9906.31
17,21456.86,10190.83
18,21579.28,10295.62
19,21398.49,10470.18
20,21432.40,10588.33
21,21437.26,10655.01
22,21421.08,10906.33
23,21515.97,10996.69
24,21535.83,10973.82
25,21517.80,11133.44
26,21659.50,10996.71
27,21624.80,11197.62
28,21524.60,11348.97
30,21874.57,11334.15
