frame,x_nm,y_nm
1,20221.20,8488.68
2,21651.38,10091.74
3,21651.38,10091.74
4,20238.32,8996.36
5,20282.51,9078.93
6,20431.76,9201.22
7,20654.22,9369.47
8,20846.66,9559.68
9,20733.91,9515.27
10,21077.07,9481.34
11,21184.79,9581.63
12,21287.91,9640.38
13,21228.38,9805.97
14,21320.32,9984.81
15,20366.97,9908.26
16,20550.46,9357.80
17,21345.02,10270.32
18,21100.92,9174.31
19,20550.46,10275.23
20,20000.00,9541.28
21,20366.97,9541.28
22,20917.43,10275.23
23,20550.46,9357.80
24,20917.43,10275.23
25,20917.43,9541.28
26,20366.97,9724.77
27,20550.46,9174.31
28,21467.89,9724.77
29,20366.97,9174.31
30,21100.92,9357.80
