frame,x_nm,y_nm
1,11009.27,13713.90
2,11021.92,13897.93
3,10927.04,14022.96
4,10956.71,14081.36
5,11113.25,14291.29
6,11323.03,14504.67
7,11376.88,14563.83
8,11565.26,14620.94
9,11473.07,14592.93
10,11529.12,14740.82
11,11799.86,14771.50
12,11880.30,14867.92
13,11643.96,14832.90
14,11749.37,14948.84
15,11926.61,14495.41
16,10825.69,14862.39
17,11376.15,14495.41
18,11906.05,15588.06
19,12320.07,15420.09
20,10825.69,13761.47
21,11376.15,15138.68
22,11743.12,14495.41
23,11743.12,14678.90
24,11926.61,15229.36
25,11559.63,15229.36
26,12171.73,15841.46
27,11009.17,14862.39
28,11926.61,14495.41
29,11926.61,15412.84
30,11743.12,15412.84
