frame,x_nm,y_nm
1,19816.51,8751.40
2,20244.05,8834.06
3,21424.72,8321.64
4,22212.63,8667.03
5,21318.81,10183.49
6,22617.74,10299.69
7,22955.30,10595.35
8,23444.43,10612.01
9,20366.97,7706.42
10,20570.12,9627.79
11,20802.39,9780.11
12,21651.16,8411.68
13,21257.85,9340.90
14,23553.64,10541.10
15,18348.62,11541.28
16,21032.31,8094.79
17,23723.24,11108.56
18,21208.85,6260.12
19,19337.41,10377.17
20,22220.18,10917.43
21,19250.76,9678.90
22,19689.48,10698.66
24,21713.57,11152.23
26,19072.38,11824.67
28,22286.52,7946.37
29,21715.49,11570.69
30,21379.31,11550.14
