frame,x_nm,y_nm
1,8364.49,23570.77
2,8368.21,23633.55
3,8427.23,23688.49
4,8380.83,23651.72
5,8420.93,23480.13
6,8351.30,23747.71
7,8268.86,23967.49
8,7968.91,24071.90
9,7922.32,24322.29
10,7959.94,24481.31
11,8073.39,24220.18
12,7706.42,24403.67
13,8256.88,23853.21
14,8133.62,24525.52
15,8348.62,24587.16
16,8807.34,23669.72
17,8256.40,24608.36
18,7155.96,24403.67
19,6788.99,24770.64
20,8073.39,24220.18
21,8623.85,24403.67
22,8256.88,24036.70
23,9541.28,24587.16
24,8440.37,24220.18
25,8807.34,23669.72
26,8256.88,23669.72
27,10275.23,24036.70
28,7155.96,22568.81
29,7339.45,24770.64
30,9541.28,24220.18
