frame,x_nm,y_nm
1,19698.73,8917.31
2,19776.50,8961.66
3,19637.11,9208.08
4,19809.55,9172.99
5,19978.42,9343.44
6,20174.26,9550.40
7,20298.30,9645.67
8,20466.17,9940.26
9,20288.93,9968.19
10,20476.87,10152.23
11,20749.61,10203.25
12,20668.94,10343.36
13,20963.18,10200.10
14,20782.78,10255.84
15,20897.79,10338.86
16,20803.52,10194.04
17,20900.24,10499.84
18,21103.98,10613.78
19,21110.81,10795.36
20,21176.02,11036.52
21,21202.68,10947.80
22,21368.82,10974.99
23,21379.47,10978.30
24,21605.92,11107.66
25,21609.41,11227.07
26,21496.22,11165.61
27,21654.38,11354.19
28,21546.15,11367.99
29,21626.40,11531.42
30,21568.09,11526.33
