frame,x_nm,y_nm
1,20261.04,8287.15
2,20145.15,9226.35
3,20244.65,9207.95
4,20321.10,9406.37
5,20507.29,9511.06
6,20603.28,9671.95
7,20824.40,9737.69
8,22114.65,8782.00
9,22218.60,8761.47
10,20897.67,9976.01
11,20971.93,9263.33
12,21292.38,10023.93
13,21240.23,10115.53
14,21121.69,10268.31
15,21180.98,10221.85
16,21147.76,10357.21
17,21311.16,10611.62
18,21298.52,10511.64
19,21380.38,10611.15
20,21115.60,10763.30
21,21277.69,10709.33
22,21369.86,10870.93
23,22108.54,9834.66
24,21571.10,10913.61
25,21774.73,10161.13
26,21555.46,11100.92
27,21394.50,11428.57
28,21473.71,11437.31
29,21602.15,11295.59
30,21654.97,11415.72
