frame,x_nm,y_nm
1,11063.21,13710.89
2,11053.13,13873.20
3,10978.96,14003.76
4,11047.66,14003.94
5,11174.22,14242.75
6,11378.64,14458.35
7,11425.85,14562.18
8,11615.12,14540.66
9,11476.80,14554.24
10,11542.22,14728.95
11,11840.67,14759.41
12,11875.02,14864.29
13,11678.85,14849.33
14,11803.54,14894.74
15,11536.65,15138.00
16,11893.26,15341.13
17,12049.50,15361.92
18,11855.31,15521.30
19,12355.89,15274.86
20,12540.93,15334.12
21,12288.15,15494.75
22,12525.73,15433.19
23,12460.43,15702.18
24,12633.86,15682.78
25,12412.45,15752.29
26,12602.68,16056.80
27,12350.73,16083.76
28,12429.87,16307.15
29,12688.17,16103.76
30,12626.08,16309.92
