frame,x_nm,y_nm
1,20083.70,8958.16
2,20121.46,9105.97
3,20192.99,9209.96
4,20283.05,9430.87
5,20626.27,9683.82
6,20611.45,9693.40
7,20813.20,9720.88
8,20812.35,9821.76
9,20859.71,9878.65
10,20994.61,10041.91
11,21173.82,9926.67
12,21279.35,10077.15
13,21229.76,10145.07
14,21133.92,10308.73
15,21155.28,10283.97
16,21168.95,10314.29
17,21374.49,10580.72
18,21380.29,10435.87
19,21386.27,10590.90
20,21138.73,10771.58
21,21165.75,10856.55
22,21331.89,10865.30
23,21410.09,10978.83
24,21665.56,10889.25
25,21256.71,11084.40
26,21404.05,11177.91
27,21436.83,11359.78
28,21549.04,11402.60
29,21631.57,11340.97
30,21636.88,11434.96
