frame,x_nm,y_nm
1,11205.10,13755.25
2,11001.98,13847.81
3,11062.95,13941.79
4,11135.72,13777.29
5,11331.21,13986.14
6,11547.40,14067.28
7,11594.58,14128.44
8,11567.61,14212.21
9,11609.67,14255.21
10,11657.23,14183.10
11,11984.78,14388.01
12,11892.20,14415.14
13,12087.16,14392.20
14,11940.20,14509.00
15,12000.00,14752.29
16,12206.66,14872.04
17,12124.21,15088.21
18,12070.77,15222.80
19,12304.37,15024.28
20,12382.84,15154.97
21,12533.04,15008.55
22,12498.24,14996.47
23,12486.98,15154.97
24,12305.05,15166.28
25,12633.37,15372.07
26,12342.98,15561.04
27,12360.30,15829.86
29,12448.84,15808.05
