frame,x_nm,y_nm
1,7445.68,3906.33
2,7307.81,4055.68
3,7590.21,3822.63
4,7494.27,3899.08
5,7614.68,4063.68
6,7814.85,4111.76
7,7760.79,4260.96
8,7481.50,4237.94
9,6330.28,4320.27
10,7798.17,4262.53
11,7808.36,6687.05
12,7691.13,4831.80
13,7178.90,4162.84
14,8598.54,3865.87
15,8451.16,3993.52
16,6351.45,5208.19
17,6880.73,6715.60
18,7467.89,4055.05
19,9287.64,3901.78
20,9614.68,2648.32
21,6924.19,7194.59
22,7487.99,3888.16
23,10165.14,4348.62
24,9692.01,2706.42
25,9759.17,2758.03
26,9741.20,3294.54
27,7689.74,4003.34
29,9553.52,2984.71
