frame,x_nm,y_nm
1,17617.11,20482.99
2,17607.63,20439.36
3,17521.46,20681.41
4,17633.84,20679.05
5,17551.37,20603.94
6,17494.40,20675.33
7,17841.51,20590.19
8,17826.62,20610.57
9,17846.04,20381.60
10,17478.89,20923.96
11,17417.48,20753.18
12,17807.37,20877.96
13,18030.14,20890.34
14,17868.92,21104.98
15,17625.60,21275.65
16,17784.23,21160.23
17,17770.29,21142.25
18,17892.07,21006.90
19,17828.66,21067.06
20,18134.95,20863.14
21,18162.16,20837.56
22,18138.64,20722.70
23,18303.24,20734.72
24,18487.20,20568.51
25,18537.23,20470.18
26,18614.17,20626.93
27,18398.97,21009.53
28,18293.23,21023.89
29,18327.28,21026.14
30,18548.53,21052.54
