frame,x_nm,y_nm
1,18795.11,13694.19
2,18339.75,13651.97
3,18651.99,13722.32
4,18645.50,13911.97
5,18769.56,13667.93
6,18532.11,14145.38
7,19034.39,13985.96
8,18885.53,14036.70
9,18729.71,13980.88
10,18146.79,12403.67
11,19095.54,14495.41
12,19320.11,14603.51
13,19062.59,14588.06
14,19381.77,14683.86
15,18962.99,14419.13
16,19440.07,14096.48
17,18503.44,14552.75
18,18689.38,13237.22
19,18532.11,12477.06
20,19191.16,14416.78
21,20342.63,14119.08
22,18807.34,13913.50
23,18710.64,13642.45
24,19032.77,13483.62
25,18876.46,13495.04
26,18794.83,13590.49
27,18833.03,13669.72
28,19648.98,12038.29
29,19022.46,14058.84
30,18753.13,14145.12
