frame,x_nm,y_nm
1,17639.14,20481.96
2,17359.04,20255.64
3,17222.97,20507.16
4,17766.71,20290.96
5,18034.47,20692.24
6,17590.75,20378.94
7,17958.08,20464.61
8,18529.35,20349.04
9,17685.65,20521.03
10,17200.44,20322.49
11,17991.06,20362.27
12,18252.15,20412.37
13,18589.36,20785.32
14,18254.01,20348.34
15,19051.57,20447.56
16,18303.35,21293.94
17,18278.90,20796.33
18,17522.94,20928.90
19,17971.46,20968.40
20,18449.25,20645.16
21,18543.58,20346.90
22,18660.99,20395.37
23,18381.18,20435.04
24,18500.88,19918.02
25,18034.30,20303.15
26,17727.22,20467.28
27,17602.28,20833.13
28,16898.49,20378.81
29,17652.38,20940.05
30,16832.45,20395.94
