frame,x_nm,y_nm
1,17876.80,13958.06
2,17609.28,12984.35
3,18136.91,12589.98
4,17591.74,12752.29
5,17165.94,13093.34
6,18040.03,14020.02
7,18119.27,13287.46
8,17266.06,12825.69
9,17701.59,13640.75
10,17822.63,13211.01
11,18047.18,13066.84
12,16834.86,13199.54
13,16907.72,13934.16
14,17122.40,13882.30
15,17709.29,13236.81
16,17559.63,12847.09
17,16870.38,12617.64
18,18318.04,13822.63
19,19357.80,14064.22
20,19944.95,14587.16
21,19747.71,13348.62
22,19880.03,13754.41
23,16477.06,14623.85
24,17595.96,12095.11
25,17112.51,14649.93
26,17296.84,11583.70
27,18558.32,15246.83
28,18789.70,11051.52
29,18540.85,11157.71
30,18012.23,11957.93
