frame,x_nm,y_nm
1,18644.53,12992.93
2,18731.52,13025.43
3,18827.13,13066.07
4,18863.01,13242.53
5,18807.40,13290.02
6,18742.64,13271.20
7,18912.39,13460.82
8,18806.99,13394.84
9,18692.10,13341.23
10,18715.60,13211.01
11,18823.51,13616.58
12,19266.06,13577.98
13,18532.11,13211.01
14,18901.12,13725.95
15,18899.08,13577.98
16,18532.11,13394.50
17,18531.15,13761.47
18,18839.17,13697.81
19,18532.11,13303.82
20,18899.08,13577.98
21,19204.89,13515.90
22,18715.60,13486.60
23,19082.57,13577.98
24,19266.06,13211.01
25,18715.60,13394.50
26,18715.60,13211.01
27,19082.57,13577.98
28,19082.57,12844.04
29,19266.06,13211.01
30,19358.88,13394.50
