frame,x_nm,y_nm
3,17737.00,20587.16
4,17834.86,19889.91
5,17541.28,19486.24
6,17233.59,19675.37
7,19275.71,20936.75
8,19245.67,21406.73
9,18908.74,21110.57
10,18052.22,19463.66
11,18722.39,21236.83
12,18807.34,21697.25
13,18650.07,21454.78
14,18733.94,20862.39
15,17084.61,22140.67
16,17388.85,22244.18
17,18365.30,21851.54
18,18422.02,20330.28
19,17419.72,22500.00
20,19258.08,21132.83
21,18700.11,20041.70
22,19077.56,20400.33
23,18875.78,19796.13
24,18042.81,20540.27
25,17116.64,20969.86
26,16553.65,21076.98
27,18599.78,20370.88
28,18023.35,20479.57
29,18361.88,20240.57
30,18717.95,20610.44
