frame,x_nm,y_nm
1,18682.39,9963.54
2,18725.59,9974.29
3,18536.03,10004.57
4,18653.38,10091.55
5,18512.76,10257.96
6,18421.85,10613.84
7,18628.01,10837.39
8,18999.73,10865.17
9,18849.98,10981.12
10,19161.41,11012.49
11,19274.22,10893.58
12,19071.93,10908.56
13,19155.90,11061.11
15,19367.87,11308.09
17,19215.06,11494.82
18,19343.68,11406.41
19,19679.41,11129.68
20,19699.73,11328.40
21,19790.72,11319.51
22,19693.19,11765.40
23,19749.72,11864.37
24,19801.56,11859.18
25,19751.34,11971.72
26,19929.21,12054.85
27,19991.97,11968.37
