frame,x_nm,y_nm
1,13781.47,8741.84
2,13663.47,8663.19
3,13690.67,8713.00
4,13720.04,8841.39
5,13812.31,8873.28
6,13917.69,9099.86
7,14252.94,9339.91
8,14097.84,9485.49
9,14114.96,9471.27
10,14166.73,9574.97
11,14341.28,9622.31
12,14204.48,9857.13
13,14225.73,10013.97
14,14177.15,10337.92
15,14240.75,10271.22
16,14275.13,10319.48
17,14337.70,10450.37
18,14341.55,10550.53
19,14429.74,10553.03
20,14509.24,10788.81
21,14635.76,10648.90
22,14636.04,10621.44
23,14711.34,10741.70
24,14740.19,10684.68
25,14833.37,10784.98
26,14874.43,10924.69
27,14949.04,11026.98
28,14974.30,11070.47
29,15014.63,11082.92
30,14918.57,11103.58
