frame,x_nm,y_nm
1,12314.55,10207.08
2,11964.83,10454.89
3,12041.73,10563.05
4,12562.25,11299.69
5,12077.47,11176.35
6,11886.93,11346.39
7,11820.96,11248.26
8,11773.70,11792.05
9,11701.42,11768.14
10,11808.99,12077.16
11,11906.66,11846.83
12,11622.71,11926.61
13,11731.65,12293.58
14,11600.41,12145.77
15,11541.28,12483.18
16,11175.98,12593.83
17,11755.35,13125.38
18,11559.63,12550.46
19,11898.80,12538.23
20,11969.42,12483.18
21,11614.68,12642.20
22,11879.56,12637.03
23,11461.77,12733.94
24,11401.17,12752.29
25,11222.02,11581.65
26,12000.00,11633.03
27,11266.06,11486.24
28,11669.72,11498.47
29,12621.23,12398.43
30,14696.37,13674.09
