frame,x_nm,y_nm
1,12368.82,10087.37
2,11958.37,10202.47
3,12015.80,10653.76
4,12190.62,10755.27
5,12121.57,10811.97
6,11802.39,11114.46
7,11991.94,11242.06
8,11722.65,11691.55
9,12110.09,10825.69
10,11874.17,11802.48
11,12293.58,11009.17
12,11614.01,12259.16
13,11376.15,11559.63
14,11559.63,10642.20
15,12110.09,11376.15
16,11743.12,10642.20
17,11192.66,11009.17
18,11743.12,10825.69
19,12293.58,11376.15
20,11926.61,11559.63
21,12293.58,11376.15
22,12110.09,11743.12
23,12568.44,11926.61
24,12844.04,10458.72
25,11009.17,11192.66
26,12477.06,11009.17
27,12293.58,10825.69
28,11743.12,11192.66
29,12477.06,11926.61
30,12477.06,11743.12
