frame,x_nm,y_nm
1,7644.13,16795.48
2,7603.48,16989.12
3,7406.54,17348.14
4,7420.58,17170.07
5,7653.52,17421.75
6,7531.44,17644.41
7,7932.20,17863.43
8,7402.54,17851.97
9,7440.00,17909.46
10,7502.12,17983.99
11,7636.20,18258.96
12,7475.91,18314.10
13,7155.96,17798.17
14,7339.45,17064.22
15,7889.91,17981.65
16,7378.53,19110.15
17,8073.39,16697.25
18,8073.39,18899.08
19,7706.42,18715.60
20,7706.42,18532.11
21,6605.50,17431.19
22,7155.96,18532.11
23,5871.56,16880.73
24,6422.02,17431.19
25,7706.42,16146.79
26,7706.42,16880.73
27,7155.96,18532.11
28,7339.45,19082.57
29,7706.42,17614.68
30,6788.99,17614.68
