frame,x_nm,y_nm
1,14808.42,16427.42
2,14639.58,16559.63
3,14903.67,16467.89
4,14796.85,16365.22
5,15144.67,16457.30
6,14777.20,16749.67
7,14597.35,16738.02
8,14368.38,16810.16
9,14615.63,17228.73
10,14413.16,17235.05
11,14626.97,17431.19
12,14513.76,16899.08
13,14117.32,17725.88
14,14546.03,17962.67
15,14556.57,17937.17
16,14220.18,17964.45
17,14000.00,18000.00
18,14119.70,17981.65
19,16253.82,19113.15
20,14342.51,17782.87
22,14368.38,18532.11
23,14809.96,18230.67
24,14449.54,18016.06
25,14935.78,17871.56
26,14560.94,18951.51
27,14408.04,18602.01
28,14178.48,19099.25
29,15856.27,18348.62
30,16080.07,18532.11
