frame,x_nm,y_nm
1,14846.46,15798.89
2,14712.62,15979.15
3,14568.11,15973.87
4,14519.74,16149.72
5,14436.65,16279.60
6,14495.41,17064.22
7,14660.41,16325.42
8,14435.69,16489.29
9,14698.27,16364.13
10,14495.41,17247.71
11,14546.20,17101.96
12,14427.64,17183.92
13,14553.42,17382.68
14,14274.72,17589.35
15,14495.41,16698.69
16,14132.68,17974.44
17,14057.50,17963.44
18,14495.41,17247.71
19,14678.90,17064.22
20,14266.81,17606.83
21,14862.39,16513.76
22,14862.39,16880.73
23,14495.41,17614.68
24,14279.17,17811.83
25,14522.46,18013.33
26,13577.98,16880.73
27,14495.41,17247.71
28,14678.90,18165.14
29,15229.36,17064.22
30,14862.39,16697.25
