frame,x_nm,y_nm
1,14868.21,15762.49
2,14690.26,15987.05
3,14604.08,15939.50
4,14523.11,16133.07
5,14464.60,16197.60
6,14572.25,16090.82
7,14631.28,16308.05
8,14454.16,16474.85
9,14668.20,16368.57
10,14591.05,16477.14
11,14564.72,17045.05
12,14443.53,17104.51
13,14543.06,17380.24
14,14353.68,17578.25
15,14585.29,17595.85
16,14137.75,17967.11
17,14087.48,17867.12
18,14013.13,17955.91
19,14055.46,17619.30
20,14270.05,17580.99
21,13785.00,18114.59
22,13708.17,18017.39
23,14024.36,17930.90
24,14313.89,17776.13
25,14553.57,17987.25
26,14460.10,18305.20
27,14292.67,18773.87
28,13929.30,18834.29
29,14232.48,18761.51
30,13765.98,19020.49
