frame,x_nm,y_nm
4,19959.23,9918.45
6,20235.91,8178.24
7,22064.22,10412.84
8,19049.21,8290.24
9,20316.00,9684.00
10,20268.17,8652.08
11,20070.57,8553.28
12,19468.86,8363.11
13,20700.58,10492.08
14,22283.59,7482.97
15,20132.52,10305.81
16,22119.27,11853.21
17,21834.86,11861.07
18,22018.35,11804.28
19,21878.04,11451.70
20,22046.58,11926.61
21,21100.92,11694.19
23,23211.01,8373.09
24,22250.76,12061.16
25,23727.06,8325.69
26,19762.55,11764.71
27,19748.91,11685.18
28,19688.07,11669.72
29,20044.29,11483.71
30,19949.96,11709.76
