frame,x_nm,y_nm
1,7668.55,16768.61
2,7613.42,16985.28
3,7424.75,17324.97
4,7411.27,17149.18
5,7619.57,17394.68
6,7562.32,17638.93
7,7889.44,17846.76
8,7392.10,17787.36
9,7414.88,17852.60
10,7519.32,17904.94
11,7722.85,18206.51
12,7502.18,18296.86
13,7003.98,18587.69
14,6961.25,18772.50
15,7391.48,18682.65
16,7421.01,19087.66
17,7381.74,19451.32
18,7342.81,19366.72
19,7281.70,19191.42
20,7197.62,19222.46
21,7143.25,19121.86
22,7090.63,19424.05
23,7046.77,19788.13
24,7192.95,19368.88
25,7117.95,19851.46
26,7034.48,20122.61
27,7052.59,20246.88
28,6718.69,20744.65
29,6802.12,20903.72
30,6913.79,20891.85
