frame,x_nm,y_nm
3,11935.34,10249.02
4,11513.76,10428.13
5,11610.25,10427.08
6,11926.61,10711.01
7,11951.63,10708.92
8,11706.42,11412.84
9,11245.09,11087.81
10,10930.54,9340.32
11,10339.45,9399.08
13,10366.97,11376.15
14,9507.92,10325.27
15,12948.89,10170.38
16,11700.78,8186.31
17,11848.98,8652.08
18,12096.99,8899.08
20,9938.84,10840.98
21,9923.55,10856.27
22,10975.81,10325.27
23,11057.46,10140.03
24,10547.06,10594.63
25,12060.05,8949.12
26,11985.58,9030.14
27,12008.86,8990.83
28,12057.67,9606.82
29,11749.04,9186.15
30,12308.87,9352.70
