frame,x_nm,y_nm
1,21467.89,10458.72
2,21751.43,9443.47
3,21467.89,10091.74
4,21724.59,9289.99
5,20917.43,10368.03
6,21356.87,9971.27
7,21296.67,10174.08
8,21377.52,10099.35
9,21100.37,10533.61
10,21144.87,10669.71
11,20966.56,10886.30
12,20879.71,10519.97
13,21014.57,10856.36
14,21558.19,10275.23
15,21100.92,10275.23
16,21085.95,10891.45
17,20917.43,9908.26
18,20550.46,9997.50
19,21834.86,9908.26
20,21100.92,11009.17
21,21467.89,10091.74
22,21834.86,10825.69
23,20917.43,9541.28
24,21651.38,11009.17
25,21651.38,9357.80
26,20917.43,10458.72
27,21100.92,10825.69
28,21100.92,10642.20
29,21100.92,10642.20
30,21467.89,9908.26
