frame,x_nm,y_nm
1,12386.67,10097.15
2,11981.73,10188.50
3,12060.86,10602.55
4,12231.61,10719.46
5,12133.65,10715.61
6,11828.74,11080.52
7,12011.15,11202.37
8,11722.86,11621.61
9,11876.88,11761.55
10,11820.36,11782.63
11,11650.74,11925.90
12,11577.45,12260.97
13,11752.62,12266.58
14,11597.22,12406.58
15,11405.52,12592.21
16,11428.85,12656.98
17,11324.86,13030.66
18,11423.06,12666.23
19,11513.41,12970.98
20,11561.38,12866.45
21,11748.07,12606.79
22,11503.33,12638.84
23,11155.78,13180.40
24,11133.66,12841.42
25,11013.59,12834.28
26,11099.75,13327.98
27,10758.91,13650.72
28,10929.82,13880.13
29,10819.41,14077.10
30,10922.00,14150.54
