frame,x_nm,y_nm
1,5905.43,5871.10
2,5809.02,5942.20
3,5681.48,5934.22
4,5727.07,5898.33
5,5759.49,5980.29
6,5827.44,6075.63
7,5840.05,6119.80
8,5873.76,6195.91
9,5850.20,6229.56
10,5883.76,6247.64
11,6000.54,6389.34
12,6094.66,6467.45
13,6168.28,6538.94
14,6225.74,6544.34
15,6309.99,6565.93
16,6334.75,6664.57
17,6362.33,6691.49
18,6460.24,6680.03
19,6477.85,6720.00
20,6578.65,6694.48
21,6667.35,6627.41
22,6802.05,6610.83
23,6843.08,6584.70
24,6911.81,6586.72
25,6876.98,6629.95
26,6938.61,6623.60
27,6966.79,6679.20
28,7067.28,6583.98
29,7147.30,6547.46
30,7156.15,6553.57
