frame,x_nm,y_nm
1,13509.44,8554.40
2,13250.27,8523.61
3,13167.30,8559.79
4,13356.35,8611.19
5,13643.80,8796.69
6,13930.10,8700.96
7,13924.28,8985.99
8,13876.13,8978.53
9,13897.85,9100.80
10,14153.98,9231.16
11,14135.39,9391.92
12,14219.45,9339.04
13,14210.53,9583.99
14,14319.85,9794.35
15,14514.96,9904.73
16,14431.14,9971.94
17,14514.25,10219.29
18,14530.70,10292.15
19,14651.19,10469.96
20,14716.01,10445.39
21,14838.69,10381.20
22,14726.52,10450.78
23,15081.87,10392.98
24,14992.67,10491.74
25,14808.20,10544.52
