frame,x_nm,y_nm
1,18682.73,9963.72
2,18725.93,9974.47
3,18536.37,10004.75
4,18653.72,10091.73
5,18513.10,10258.14
6,18422.19,10614.03
7,18628.35,10837.59
8,19000.08,10865.37
9,18850.33,10981.32
10,19161.76,11012.69
11,19274.57,10893.78
12,19072.27,10908.76
13,19156.25,11061.31
15,19368.22,11308.30
17,19215.41,11495.03
18,19344.03,11406.61
19,19679.77,11129.88
20,19700.09,11328.61
21,19791.08,11319.71
22,19693.55,11765.61
23,19750.08,11864.59
24,19801.92,11859.39
25,19751.70,11971.94
26,19929.57,12055.07
27,19992.33,11968.59
