frame,x_nm,y_nm
1,3190.52,17055.30
2,3132.51,17209.18
3,3112.42,17181.60
4,3157.75,17284.28
5,3261.43,17351.18
6,3376.35,17404.66
7,3381.09,17379.62
8,3374.10,17350.78
9,3452.71,17621.41
10,3522.29,17521.67
11,3617.60,17567.07
12,3687.90,17628.58
13,3709.97,17548.37
14,3749.93,17627.23
15,3857.49,17739.82
16,3965.68,17651.83
17,3967.00,17752.99
18,4129.63,17868.01
19,4180.53,18237.28
20,4249.49,17954.01
21,4368.73,18235.80
22,4502.03,18296.66
23,4524.59,18708.70
24,4551.73,18790.03
25,4600.04,19052.58
26,4623.39,19203.84
27,4698.98,19103.82
28,4641.93,19228.29
29,4753.59,19097.47
30,4736.39,18980.04
