frame,x_nm,y_nm
1,6054.91,12983.83
2,6046.40,13107.90
3,5931.34,13202.06
4,5995.41,13212.06
5,6055.54,13292.29
6,6216.52,13292.78
7,6099.55,13392.31
8,6111.36,13583.28
9,6271.31,13703.28
10,6486.02,13673.67
11,6660.67,13752.91
12,6564.30,13760.77
13,6680.65,13666.51
14,6853.49,13810.26
15,6957.45,13902.85
16,7273.74,14085.36
17,7162.06,14106.90
18,7353.41,14262.29
19,7328.27,14435.31
20,7259.65,14534.34
21,7488.43,14554.08
22,7364.71,14456.09
23,7549.90,14465.09
24,7491.96,14693.28
25,7773.57,14589.61
26,7801.45,14500.43
27,7836.72,14651.80
28,7851.38,14703.63
29,7900.96,14600.85
30,7942.62,14712.75
