frame,x_nm,y_nm
1,12324.32,17617.12
2,12274.19,17509.83
3,12280.75,16878.68
4,12453.59,17299.76
5,12444.79,17121.57
6,12366.59,17068.77
7,12570.85,16642.00
8,12170.90,16489.53
9,12064.85,16628.53
10,12398.84,16858.38
11,12349.38,16878.83
12,11980.20,16922.07
13,11454.02,16896.22
14,11464.84,17145.38
15,10834.42,17260.98
16,10652.95,17335.99
17,10003.47,17559.75
18,10597.13,17964.97
19,10463.40,18441.30
20,9833.77,18481.55
21,9580.49,18483.90
22,9607.37,18672.79
23,9753.34,18936.10
24,9706.94,18885.31
25,10005.68,19303.40
29,9858.23,19076.47
