frame,x_nm,y_nm
1,9406.73,24558.61
2,9548.55,25475.52
3,9734.30,25132.85
4,9792.49,25244.65
5,10032.23,25261.59
6,9851.80,24615.38
7,9763.40,24654.76
8,10134.47,25353.78
9,10401.38,25337.16
10,9997.87,24672.50
11,10140.42,24538.48
12,10208.10,24435.00
13,10217.89,24411.31
14,10390.44,24531.68
15,10470.18,24438.07
16,10356.09,24612.04
17,10626.38,24485.92
18,10636.19,24427.73
19,10721.35,24461.23
20,10944.95,24449.54
21,10698.43,24249.78
22,10766.97,24594.50
23,10812.00,24474.87
24,9483.34,24625.78
25,9394.50,24697.25
26,11097.75,24542.87
27,11192.66,24770.64
28,11046.44,24446.67
29,11196.74,24599.39
30,11298.00,24899.76
