frame,x_nm,y_nm
1,17521.11,5227.96
2,17649.13,5264.11
3,17706.67,5273.14
4,17704.41,5463.12
5,17534.01,5727.18
6,17542.09,5764.70
7,17466.31,5777.63
8,17807.23,5964.70
9,17745.73,5782.86
10,17814.74,5546.26
11,17874.67,5869.49
12,18124.03,5630.25
13,18045.46,5537.83
14,17551.90,5741.35
15,17798.17,5871.56
16,17981.65,5412.84
17,17431.19,5504.59
18,18127.28,6030.34
19,18165.14,5688.07
20,17247.71,5137.61
21,17614.68,6055.05
22,17614.68,5504.59
23,17981.65,5504.59
24,17247.71,5908.66
25,17523.05,5596.21
26,17798.17,5137.61
27,17614.68,5504.59
28,17934.80,5551.08
29,17339.10,6055.05
30,17798.17,5504.59
