frame,x_nm,y_nm
1,8412.95,23784.93
2,8792.05,25993.88
3,7437.75,24619.92
4,7761.47,24293.58
5,10247.35,25643.96
6,9940.59,25015.67
7,9209.95,25199.31
8,11027.52,25174.31
9,10699.90,23146.69
10,9590.80,24479.39
11,11392.83,24253.54
12,9454.72,21719.22
13,9651.11,22005.78
15,10782.00,26535.61
16,11614.68,24752.29
18,10596.75,27053.28
19,10771.72,24349.70
20,10504.59,24506.88
21,11223.24,26724.43
22,7889.91,25428.13
23,9235.47,25343.34
24,9326.36,23935.82
26,11728.63,26991.79
27,9110.68,26741.36
28,8677.23,22041.70
30,11733.46,22984.07
