frame,x_nm,y_nm
1,17792.85,5701.37
2,17763.37,5672.26
3,17901.17,5791.08
4,17672.93,5492.94
5,17745.74,5577.40
6,17899.40,5669.09
7,17904.92,5567.97
8,17722.24,5583.68
9,17715.42,5817.59
10,17930.68,5684.68
11,18121.81,5749.24
12,18298.26,5688.07
13,18171.36,5731.61
14,18053.14,5871.56
15,18085.36,6254.49
16,18650.84,6616.30
17,17960.80,6167.64
18,18165.14,6242.90
19,18348.62,6100.92
20,18195.72,5969.42
21,18152.48,5998.10
22,18174.79,6460.65
23,18073.39,6599.77
24,18479.69,6669.16
25,18134.56,6360.86
28,20567.14,4503.75
29,18058.10,6666.67
30,17045.87,4550.46
