frame,x_nm,y_nm
1,22357.11,7998.63
2,22503.03,8121.86
3,22111.22,7817.16
4,21928.86,7693.32
5,21952.92,7618.71
6,21978.78,7651.51
7,21890.83,7830.29
8,21707.06,7874.74
9,21847.10,8047.82
10,21814.79,7808.84
11,21896.28,7766.28
12,22075.87,7695.62
13,21974.09,7934.52
14,22262.84,7644.94
15,22313.89,7786.12
16,22018.35,7889.91
17,22385.32,7891.80
18,22201.83,7706.42
19,21992.08,8152.00
20,22201.83,8440.37
21,22385.32,8348.99
22,22018.35,8256.88
23,22385.32,7706.42
24,22568.81,8440.37
25,21561.06,8256.88
26,21651.38,6972.48
27,21651.38,7889.91
28,21467.89,8256.88
29,22018.35,8623.85
30,22201.83,8073.39
