frame,x_nm,y_nm
1,22020.08,8393.63
2,22148.83,8334.35
3,21937.61,8049.54
4,21743.12,8033.82
5,21914.84,8028.70
6,21881.91,8021.64
7,22067.64,8100.78
8,21916.08,7959.09
9,22015.19,8003.80
10,22092.34,8076.35
11,22136.30,7935.78
12,22241.15,7837.48
13,20641.69,7911.20
14,20178.39,7905.20
15,22269.99,7879.42
16,22491.18,8013.41
17,22270.64,8111.62
18,20450.38,7906.59
19,20406.29,9737.88
20,22675.84,9143.73
21,20518.55,8627.84
22,20423.43,8637.97
23,20128.44,8532.11
24,23066.84,9261.69
25,19374.48,10258.55
26,21944.95,5932.72
27,22218.52,6130.11
28,22215.18,6241.87
29,22192.66,6165.14
30,22311.93,6177.37
