frame,x_nm,y_nm
1,17616.79,20482.61
2,17607.31,20438.99
3,17521.14,20681.03
4,17633.52,20678.67
5,17551.05,20603.57
6,17494.08,20674.95
7,17841.18,20589.82
8,17826.30,20610.20
9,17845.71,20381.22
10,17478.57,20923.58
11,17417.16,20752.80
12,17807.05,20877.57
13,18029.81,20889.96
14,17868.59,21104.59
15,17625.28,21275.26
16,17783.90,21159.85
17,17769.97,21141.87
18,17891.74,21006.52
19,17828.34,21066.68
20,18134.62,20862.76
21,18161.83,20837.18
22,18138.30,20722.32
23,18302.90,20734.34
24,18486.86,20568.13
25,18536.89,20469.81
26,18613.83,20626.56
27,18398.63,21009.14
28,18292.90,21023.50
29,18326.95,21025.75
30,18548.19,21052.15
