frame,x_nm,y_nm
1,14867.94,15762.20
2,14689.99,15986.76
3,14603.81,15939.21
4,14522.84,16132.78
5,14464.34,16197.31
6,14571.98,16090.52
7,14631.01,16307.75
8,14453.90,16474.55
9,14667.93,16368.27
10,14590.78,16476.84
11,14564.45,17044.74
12,14443.27,17104.20
13,14542.79,17379.92
14,14353.42,17577.93
15,14585.02,17595.53
16,14137.49,17966.78
17,14087.23,17866.79
18,14012.88,17955.58
19,14055.20,17618.98
20,14269.79,17580.67
24,14313.63,17775.80
25,14553.31,17986.92
26,14459.84,18304.87
27,14292.41,18773.52
28,13929.04,18833.94
29,14232.22,18761.17
30,13765.73,19020.14
