frame,x_nm,y_nm
1,13781.73,8742.00
2,13663.72,8663.35
3,13690.92,8713.16
4,13720.29,8841.55
5,13812.56,8873.44
6,13917.94,9100.03
7,14253.20,9340.08
8,14098.10,9485.66
9,14115.21,9471.44
10,14166.99,9575.15
11,14341.54,9622.49
12,14204.74,9857.31
13,14225.99,10014.15
14,14177.41,10338.11
15,14241.01,10271.41
16,14275.39,10319.67
17,14337.96,10450.56
18,14341.81,10550.72
19,14430.01,10553.22
20,14509.50,10789.01
21,14636.02,10649.09
22,14636.31,10621.63
23,14711.61,10741.90
24,14740.46,10684.87
25,14833.64,10785.18
26,14874.70,10924.89
27,14949.32,11027.18
28,14974.57,11070.68
29,15014.90,11083.13
30,14918.84,11103.78
