frame,x_nm,y_nm
1,6092.24,12985.12
2,6008.91,13153.26
3,5969.10,13200.36
4,5994.76,13226.48
5,6112.61,13262.51
6,6182.37,13311.79
7,6125.58,13404.72
8,6118.66,13601.14
9,6244.12,13722.30
10,6517.90,13677.91
11,6630.35,13790.19
12,6576.88,13761.19
13,6563.52,13714.90
14,6772.29,13805.12
15,6899.54,13929.10
16,7269.87,14092.01
17,7152.94,14177.97
18,6972.48,13761.47
19,6422.02,14128.44
20,6422.02,14128.44
21,6972.48,14128.44
22,6972.48,13944.95
23,6788.99,14128.44
24,6422.02,14678.90
25,6972.48,14128.44
26,6422.02,14128.44
27,6972.48,13944.95
28,6605.50,13761.47
29,6972.48,13761.47
30,6788.99,13761.47
