frame,x_nm,y_nm
1,18720.44,9984.64
2,18709.50,9953.18
3,18530.39,9977.98
4,18679.03,10080.56
5,18526.23,10240.10
6,18165.14,9908.26
7,18670.43,10811.69
8,18999.26,10812.96
9,18165.14,9908.26
10,18899.08,9724.77
11,18165.14,9908.26
12,18715.60,10825.69
13,18165.14,9908.26
14,18715.60,10275.23
15,18165.14,10275.23
16,18348.62,10458.72
17,18715.60,9724.77
18,17614.68,10275.23
19,19266.06,9724.77
20,18348.62,10458.72
21,19449.54,10275.23
22,17798.17,9724.77
23,18899.08,9724.77
24,17981.65,10458.72
25,18532.11,10275.23
26,17981.65,9908.26
27,18165.14,9908.26
28,18348.62,9908.26
29,18532.11,10458.72
30,18532.11,10091.74
